name,email,personnummer,average_heartbeat,chronic_illness
Kari Lund,kari.lund643@example.se,19800416-7116,64,Asthma
Maja Eriksen,maja.eriksen146@example.se,19790109-8274,64,Type 2 Diabetes
Kari Nielsen,kari.nielsen848@example.se,20021209-9303,74,Asthma
Lars Nielsen,lars.nielsen811@example.se,19931027-6463,72,Arthritis
Kasper Olofsson,kasper.olofsson59@example.se,19891119-1615,68,Type 2 Diabetes
Kari Poulsen,kari.poulsen521@example.se,19580204-5461,67,
Oskar Eriksen,oskar.eriksen831@example.se,19720407-6967,63,Hypertension
Aksel Laine,aksel.laine120@example.se,20040728-3741,65,Hypothyroidism
Elias Eriksen,elias.eriksen343@example.se,19820407-5054,70,Hypertension
Freja Poulsen,freja.poulsen427@example.se,19611209-5649,57,Type 2 Diabetes
Mika Karlsen,mika.karlsen542@example.se,19960615-5911,70,
Sanna Olofsson,sanna.olofsson643@example.se,20010226-1823,70,Migraine
Sofie Poulsen,sofie.poulsen410@example.se,19520827-9310,68,
Aksel Lund,aksel.lund435@example.se,19750618-1493,69,Migraine
Sofie Karlsen,sofie.karlsen775@example.se,19920603-7359,70,Asthma
Freja Olofsson,freja.olofsson820@example.se,19760518-8710,66,
Nora Nielsen,nora.nielsen962@example.se,19750919-4331,71,Asthma
Anna Poulsen,anna.poulsen592@example.se,19830113-1822,89,COPD
Kasper Korhonen,kasper.korhonen62@example.se,19770503-5200,83,Hypertension
Sanna Sigurdsson,sanna.sigurdsson56@example.se,20020508-3403,70,Celiac Disease
Oskar Nielsen,oskar.nielsen310@example.se,19630926-8781,78,Celiac Disease
Kasper Karlsen,kasper.karlsen506@example.se,20031014-3814,68,
Erik Svensson,erik.svensson268@example.se,19760516-5981,73,Hypertension
Tilde Lund,tilde.lund631@example.se,19900619-8017,77,COPD
Tilde Virtanen,tilde.virtanen654@example.se,19950224-5763,68,Asthma
Aksel Olofsson,aksel.olofsson925@example.se,19721010-1018,83,COPD
Aksel Korhonen,aksel.korhonen142@example.se,19850508-7889,74,Hypothyroidism
Elias Holm,elias.holm180@example.se,19920316-6249,69,
Erik Andersson,erik.andersson867@example.se,19861214-5849,77,Hypothyroidism
Freja Korhonen,freja.korhonen193@example.se,19720825-5097,69,Migraine
Maja Holm,maja.holm137@example.se,19831117-7790,71,Hypothyroidism
Jonas Andersson,jonas.andersson660@example.se,19700514-8280,61,Hypertension
Erik Sigurdsson,erik.sigurdsson150@example.se,20040124-1747,68,
Mika Rasmussen,mika.rasmussen394@example.se,19871125-2483,69,Type 2 Diabetes
Sanna Karlsen,sanna.karlsen899@example.se,19870615-5605,64,Hypertension
Tilde Korhonen,tilde.korhonen586@example.se,19850805-2057,71,Hypertension
Emil Nielsen,emil.nielsen444@example.se,19920810-3223,63,Hypertension
Vilde Svensson,vilde.svensson145@example.se,19621026-8723,56,Migraine
Henrik Poulsen,henrik.poulsen670@example.se,19660918-7825,87,Migraine
Kasper Berg,kasper.berg328@example.se,19700702-2782,52,Type 2 Diabetes
Maja Berg,maja.berg153@example.se,19780307-5012,74,Asthma
Aksel Svensson,aksel.svensson310@example.se,19531222-1469,82,
Mika Hansen,mika.hansen262@example.se,19640112-9251,83,Asthma
Emil Johansen,emil.johansen666@example.se,19640426-3620,70,Hypertension
Erik Virtanen,erik.virtanen840@example.se,19881014-2076,62,Migraine
Freja Johansen,freja.johansen156@example.se,19741208-4071,56,Type 2 Diabetes
Jonas Lund,jonas.lund379@example.se,19781008-8954,74,Asthma
Elias Berg,elias.berg622@example.se,20030617-3713,75,
Kasper Hansen,kasper.hansen90@example.se,19981225-4127,74,Asthma
Henrik Sigurdsson,henrik.sigurdsson580@example.se,19510708-8495,57,Celiac Disease
Mika Lund,mika.lund109@example.se,19830704-8054,94,Arthritis
Kari Andersson,kari.andersson908@example.se,19650109-5122,63,Type 2 Diabetes
Aksel Poulsen,aksel.poulsen246@example.se,19570618-5711,89,Asthma
Maja Lund,maja.lund119@example.se,19740101-1668,77,Arthritis
Kari Olofsson,kari.olofsson465@example.se,19600622-3090,70,Asthma
Sofie Virtanen,sofie.virtanen748@example.se,19720509-4342,66,Migraine
Maja Karlsen,maja.karlsen983@example.se,19750216-3024,73,Type 2 Diabetes
Emil Sigurdsson,emil.sigurdsson652@example.se,19951127-8965,70,Asthma
Ingrid Svensson,ingrid.svensson432@example.se,19560308-5502,56,Type 2 Diabetes
Jonas Rasmussen,jonas.rasmussen532@example.se,19830806-8871,90,
Emil Sigurdsson,emil.sigurdsson549@example.se,19720902-1699,83,Hypothyroidism
Aksel Nielsen,aksel.nielsen487@example.se,19960427-8590,66,
Sanna Rasmussen,sanna.rasmussen438@example.se,19950420-4007,74,Celiac Disease
Erik Poulsen,erik.poulsen711@example.se,19611110-8086,76,Type 2 Diabetes
Sanna Johansen,sanna.johansen517@example.se,19600520-6661,73,Celiac Disease
Mika Svensson,mika.svensson271@example.se,19640815-8777,78,Type 2 Diabetes
Lars Holm,lars.holm111@example.se,19560414-8334,92,
Mika Rasmussen,mika.rasmussen254@example.se,20020301-3853,67,Arthritis
Aksel Holm,aksel.holm381@example.se,19920205-1538,86,Celiac Disease
Henrik Virtanen,henrik.virtanen898@example.se,19550104-4317,80,Type 2 Diabetes
Kari Sigurdsson,kari.sigurdsson252@example.se,19590215-6421,75,
Tilde Sigurdsson,tilde.sigurdsson50@example.se,19510407-5224,66,Migraine
Mika Johansen,mika.johansen884@example.se,19541212-1264,62,Migraine
Nora Hansen,nora.hansen117@example.se,19640323-2303,63,
Sofie Holm,sofie.holm952@example.se,20040927-9574,84,Migraine
Vilde Lund,vilde.lund524@example.se,19710901-5181,81,Asthma
Emil Poulsen,emil.poulsen800@example.se,19500917-3125,76,Type 2 Diabetes
Anna Johansen,anna.johansen631@example.se,19550908-7977,76,Type 2 Diabetes
Sofie Svensson,sofie.svensson27@example.se,19900628-5149,82,Hypothyroidism
Henrik Johansen,henrik.johansen788@example.se,19700509-6745,77,Celiac Disease
Mika Olofsson,mika.olofsson42@example.se,19750324-6145,68,Asthma
Oskar Nielsen,oskar.nielsen737@example.se,19930618-5440,65,Migraine
Emil Dahl,emil.dahl226@example.se,19820617-3999,50,
Oskar Olofsson,oskar.olofsson537@example.se,19990912-1277,63,Hypothyroidism
Kari Hansen,kari.hansen171@example.se,19680706-7518,43,
Maja Nielsen,maja.nielsen73@example.se,19500125-2250,89,
Henrik Karlsen,henrik.karlsen352@example.se,19920320-1327,70,
Lars Virtanen,lars.virtanen630@example.se,19950604-7955,86,Hypertension
Jonas Laine,jonas.laine762@example.se,19520307-3672,67,COPD
Kari Laine,kari.laine8@example.se,19811228-3571,84,
Tilde Dahl,tilde.dahl6@example.se,19590603-6726,80,Hypothyroidism
Anna Johansen,anna.johansen557@example.se,20021211-1862,78,
Vilde Olofsson,vilde.olofsson902@example.se,20031102-1855,68,
Elias Andersson,elias.andersson561@example.se,20021123-2576,68,
Mika Rasmussen,mika.rasmussen589@example.se,19730602-1182,75,Celiac Disease
Vilde Virtanen,vilde.virtanen915@example.se,19760418-2163,76,Migraine
Nora Johansen,nora.johansen683@example.se,19611016-6675,63,
Maja Eriksen,maja.eriksen582@example.se,19581126-8741,77,Hypertension
Mika Sigurdsson,mika.sigurdsson825@example.se,19660824-9408,96,Arthritis
Kasper Dahl,kasper.dahl985@example.se,19841022-4733,69,Arthritis
Jonas Nielsen,jonas.nielsen121@example.se,19790821-7981,79,Hypothyroidism
Oskar Dahl,oskar.dahl351@example.se,19900105-1170,83,Arthritis
Nora Johansen,nora.johansen774@example.se,19680302-7976,81,Asthma
Mika Virtanen,mika.virtanen345@example.se,19551013-8479,87,COPD
Jonas Virtanen,jonas.virtanen848@example.se,19690608-5486,58,Arthritis
Lars Laine,lars.laine271@example.se,19850202-2567,56,Type 2 Diabetes
Tilde Eriksen,tilde.eriksen590@example.se,19610308-3227,73,Hypothyroidism
Sanna Laine,sanna.laine164@example.se,19521021-2945,81,
Kari Svensson,kari.svensson402@example.se,19510421-2099,64,
Mika Johansen,mika.johansen727@example.se,19620105-5115,70,Hypertension
Mika Andersson,mika.andersson453@example.se,19750125-1467,82,Asthma
Freja Svensson,freja.svensson464@example.se,19520721-3269,57,
Sanna Poulsen,sanna.poulsen999@example.se,19800501-7746,60,Hypothyroidism
Maja Johansen,maja.johansen240@example.se,19920723-4961,65,Celiac Disease
Anna Berg,anna.berg41@example.se,19680808-6640,71,Migraine
Kasper Poulsen,kasper.poulsen762@example.se,20010914-8575,85,Celiac Disease
Sanna Korhonen,sanna.korhonen340@example.se,19860406-3166,66,
Aksel Svensson,aksel.svensson746@example.se,19701018-9767,96,Asthma
Mika Karlsen,mika.karlsen174@example.se,19821128-1053,75,Celiac Disease
Jonas Johansen,jonas.johansen484@example.se,19960404-2459,75,COPD
Vilde Rasmussen,vilde.rasmussen143@example.se,20000203-9140,67,
Maja Olofsson,maja.olofsson447@example.se,19820515-4252,65,COPD
Kari Hansen,kari.hansen423@example.se,19630106-4031,66,Migraine
Jonas Andersson,jonas.andersson283@example.se,19740628-4149,77,
Erik Karlsen,erik.karlsen765@example.se,19740804-9483,68,
Mika Laine,mika.laine552@example.se,19880925-1787,97,Hypertension
Maja Korhonen,maja.korhonen801@example.se,19881127-6424,80,Hypertension
Kari Nielsen,kari.nielsen808@example.se,20050206-1199,61,Hypertension
Sanna Lund,sanna.lund195@example.se,19720308-8599,74,COPD
Mika Lund,mika.lund13@example.se,19900318-7445,65,Type 2 Diabetes
Mika Nielsen,mika.nielsen164@example.se,19911121-9909,74,Arthritis
Lars Dahl,lars.dahl598@example.se,19710817-2888,70,COPD
Sanna Berg,sanna.berg797@example.se,19590124-4059,77,
Mika Rasmussen,mika.rasmussen213@example.se,19520615-4378,64,Migraine
Ingrid Eriksen,ingrid.eriksen427@example.se,19950928-2223,84,COPD
Sanna Virtanen,sanna.virtanen628@example.se,19721111-4583,61,COPD
Anna Rasmussen,anna.rasmussen186@example.se,19760826-1090,73,COPD
Aksel Karlsen,aksel.karlsen905@example.se,19661125-8693,85,Asthma
Maja Lund,maja.lund3@example.se,19820219-2604,71,Arthritis
Sofie Korhonen,sofie.korhonen826@example.se,19860711-9623,57,Hypertension
Aksel Poulsen,aksel.poulsen310@example.se,19820422-5672,81,Hypertension
Lars Lund,lars.lund338@example.se,19590608-7816,69,Hypertension
Vilde Rasmussen,vilde.rasmussen155@example.se,19670524-3107,63,Hypothyroidism
Mika Johansen,mika.johansen232@example.se,19580909-2563,86,Hypertension
Mika Rasmussen,mika.rasmussen985@example.se,19660808-8913,76,COPD
Sanna Svensson,sanna.svensson768@example.se,19651113-9559,65,
Mika Rasmussen,mika.rasmussen601@example.se,19620110-9608,68,Asthma
Elias Nielsen,elias.nielsen993@example.se,19981225-6499,59,Hypothyroidism
Mika Eriksen,mika.eriksen983@example.se,19930503-9629,79,Celiac Disease
Jonas Poulsen,jonas.poulsen455@example.se,19700725-3516,71,Type 2 Diabetes
Nora Andersson,nora.andersson733@example.se,19770226-1574,68,Hypertension
Jonas Nielsen,jonas.nielsen66@example.se,19950404-2253,90,Asthma
Sanna Dahl,sanna.dahl651@example.se,20040608-1970,72,Type 2 Diabetes
Elias Laine,elias.laine593@example.se,19690205-4165,50,Asthma
Elias Svensson,elias.svensson155@example.se,19520304-8847,66,
Emil Eriksen,emil.eriksen339@example.se,19640814-2484,62,Migraine
Lars Olofsson,lars.olofsson486@example.se,19930810-3616,54,Hypertension
Kasper Andersson,kasper.andersson696@example.se,19680307-1493,78,Arthritis
Emil Andersson,emil.andersson647@example.se,19850528-7860,78,
Sofie Virtanen,sofie.virtanen365@example.se,19671202-9493,79,
Lars Johansen,lars.johansen70@example.se,19741227-9717,58,Type 2 Diabetes
Tilde Berg,tilde.berg804@example.se,19630713-6398,62,Asthma
Mika Svensson,mika.svensson556@example.se,19650705-6731,80,Celiac Disease
Oskar Poulsen,oskar.poulsen727@example.se,19701015-1823,79,Asthma
Mika Poulsen,mika.poulsen446@example.se,19810814-4257,80,Hypertension
Sanna Rasmussen,sanna.rasmussen918@example.se,19670905-4810,73,
Maja Poulsen,maja.poulsen477@example.se,19790304-1798,64,Celiac Disease
Emil Berg,emil.berg34@example.se,19571128-5160,52,Celiac Disease
Nora Dahl,nora.dahl706@example.se,19940225-4935,69,COPD
Jonas Berg,jonas.berg979@example.se,19771218-3254,92,COPD
Emil Berg,emil.berg108@example.se,19730522-8454,73,Arthritis
Maja Eriksen,maja.eriksen331@example.se,19630623-2262,65,
Jonas Korhonen,jonas.korhonen973@example.se,19990102-2745,62,Type 2 Diabetes
Oskar Berg,oskar.berg39@example.se,19620311-7353,70,
Anna Holm,anna.holm44@example.se,19541010-1675,58,
Oskar Holm,oskar.holm30@example.se,19650126-8279,63,Hypothyroidism
Maja Holm,maja.holm606@example.se,19890601-8477,80,Hypothyroidism
Freja Johansen,freja.johansen609@example.se,19661002-5603,77,Asthma
Elias Sigurdsson,elias.sigurdsson748@example.se,19820111-1377,71,Hypothyroidism
Mika Sigurdsson,mika.sigurdsson763@example.se,20051223-5327,85,
Anna Rasmussen,anna.rasmussen424@example.se,19530803-3430,67,Hypothyroidism
Oskar Sigurdsson,oskar.sigurdsson840@example.se,19730323-7414,71,Hypertension
Mika Rasmussen,mika.rasmussen68@example.se,19840219-6595,60,Migraine
Sanna Dahl,sanna.dahl354@example.se,19990625-9153,56,Migraine
Mika Sigurdsson,mika.sigurdsson694@example.se,19690623-8359,88,Hypertension
Henrik Holm,henrik.holm507@example.se,19891009-2008,72,Hypertension
Tilde Poulsen,tilde.poulsen391@example.se,19621004-1157,87,Arthritis
Sanna Holm,sanna.holm841@example.se,19580108-7491,72,COPD
Freja Berg,freja.berg406@example.se,19760814-8881,69,Hypothyroidism
Elias Rasmussen,elias.rasmussen297@example.se,19520309-2115,59,Type 2 Diabetes
Kasper Rasmussen,kasper.rasmussen366@example.se,19510811-6668,75,
Kasper Olofsson,kasper.olofsson78@example.se,19900609-1079,93,Migraine
Mika Hansen,mika.hansen90@example.se,19690820-5462,74,Migraine
Anna Hansen,anna.hansen136@example.se,19601105-8290,80,Hypertension
Kari Andersson,kari.andersson147@example.se,19640914-2483,60,Type 2 Diabetes
Erik Korhonen,erik.korhonen879@example.se,20010708-1279,70,Migraine
Jonas Laine,jonas.laine270@example.se,20010924-6598,67,Asthma
Elias Laine,elias.laine415@example.se,19990724-1986,75,
Elias Svensson,elias.svensson423@example.se,19730610-9127,69,Hypothyroidism
Mika Olofsson,mika.olofsson556@example.se,19600821-9477,58,Migraine
Emil Sigurdsson,emil.sigurdsson985@example.se,20050708-5067,82,Celiac Disease
Mika Berg,mika.berg774@example.se,19660623-7907,72,Hypothyroidism
Nora Holm,nora.holm614@example.se,19610924-4118,70,
Vilde Svensson,vilde.svensson365@example.se,19790404-5897,61,Type 2 Diabetes
Henrik Eriksen,henrik.eriksen509@example.se,19661022-7157,65,Type 2 Diabetes
Aksel Andersson,aksel.andersson820@example.se,19760820-5318,80,
Aksel Eriksen,aksel.eriksen243@example.se,19850912-6345,69,COPD
Tilde Karlsen,tilde.karlsen622@example.se,19651214-5001,74,
Maja Laine,maja.laine905@example.se,19690915-1553,80,COPD
Sanna Svensson,sanna.svensson801@example.se,19730921-3346,46,Celiac Disease
Lars Dahl,lars.dahl722@example.se,19560913-6189,72,Migraine
Nora Svensson,nora.svensson579@example.se,19920226-5138,64,
Mika Eriksen,mika.eriksen846@example.se,20051210-3504,79,Migraine
Tilde Laine,tilde.laine251@example.se,19590811-1858,67,Asthma
Kasper Svensson,kasper.svensson214@example.se,19520521-5017,79,Hypertension
Jonas Rasmussen,jonas.rasmussen505@example.se,19580412-7454,75,
Sofie Andersson,sofie.andersson512@example.se,19651128-7781,74,Arthritis
Erik Hansen,erik.hansen343@example.se,19691222-9381,67,Type 2 Diabetes
Mika Laine,mika.laine502@example.se,20000209-4349,71,COPD
Oskar Karlsen,oskar.karlsen690@example.se,19780808-9452,52,Hypertension
Kari Berg,kari.berg567@example.se,19600103-8340,72,Migraine
Anna Olofsson,anna.olofsson537@example.se,19670108-4598,67,Arthritis
Anna Hansen,anna.hansen666@example.se,19790425-9963,70,Type 2 Diabetes
Anna Berg,anna.berg332@example.se,19940617-1103,83,
Sanna Dahl,sanna.dahl699@example.se,19650509-4254,70,Hypothyroidism
Sofie Dahl,sofie.dahl549@example.se,19710611-6472,73,Asthma
Sofie Karlsen,sofie.karlsen921@example.se,19910905-2314,86,Hypertension
Emil Lund,emil.lund116@example.se,20040414-3679,69,
Kari Olofsson,kari.olofsson711@example.se,19620927-8649,80,Arthritis
Sanna Karlsen,sanna.karlsen259@example.se,19950121-7449,70,
Maja Korhonen,maja.korhonen282@example.se,19980614-3890,68,
Sanna Andersson,sanna.andersson708@example.se,19950901-3153,66,
Jonas Eriksen,jonas.eriksen775@example.se,19910604-9614,69,Hypertension
Lars Holm,lars.holm42@example.se,19650710-2519,64,Hypertension
Maja Dahl,maja.dahl150@example.se,19621026-4395,63,Asthma
Elias Berg,elias.berg837@example.se,19541215-8968,72,Hypertension
Sofie Berg,sofie.berg151@example.se,19860303-8175,65,
Jonas Svensson,jonas.svensson206@example.se,20010709-2447,65,Asthma
Oskar Sigurdsson,oskar.sigurdsson550@example.se,20020127-3800,60,Hypothyroidism
Sofie Nielsen,sofie.nielsen734@example.se,19750828-7938,84,Arthritis
Lars Hansen,lars.hansen778@example.se,20010328-1295,65,
Tilde Berg,tilde.berg380@example.se,19740920-1503,82,Hypertension
Vilde Olofsson,vilde.olofsson473@example.se,19710627-3089,64,Type 2 Diabetes
Nora Svensson,nora.svensson390@example.se,19560610-8685,77,
Jonas Eriksen,jonas.eriksen453@example.se,19500718-1270,86,
Maja Korhonen,maja.korhonen196@example.se,19500205-8345,64,Arthritis
Emil Johansen,emil.johansen253@example.se,19571008-9297,76,Migraine
Vilde Dahl,vilde.dahl463@example.se,19870623-7104,72,Asthma
Kari Holm,kari.holm364@example.se,19530918-7260,65,Hypertension
Ingrid Holm,ingrid.holm80@example.se,19820712-5711,61,Hypertension
Erik Poulsen,erik.poulsen635@example.se,19660824-7845,85,Hypertension
Henrik Holm,henrik.holm919@example.se,19740517-4446,72,Migraine
Vilde Sigurdsson,vilde.sigurdsson523@example.se,19860411-4650,57,Hypertension
Lars Olofsson,lars.olofsson375@example.se,19870819-5856,65,Migraine
Kari Nielsen,kari.nielsen707@example.se,19680828-1179,71,Asthma
Sanna Olofsson,sanna.olofsson721@example.se,19530718-7871,65,
Sanna Berg,sanna.berg386@example.se,19970802-8170,69,
Oskar Sigurdsson,oskar.sigurdsson595@example.se,19890312-2081,59,Migraine
Sofie Holm,sofie.holm386@example.se,19740115-2625,77,Arthritis
Kasper Nielsen,kasper.nielsen722@example.se,19850906-5918,77,Arthritis
Mika Karlsen,mika.karlsen117@example.se,19511120-4904,82,Hypertension
Maja Berg,maja.berg318@example.se,19620120-3240,62,Migraine
Kari Laine,kari.laine792@example.se,19721028-5731,50,COPD
Lars Sigurdsson,lars.sigurdsson347@example.se,20050321-9954,75,Migraine
Oskar Johansen,oskar.johansen593@example.se,20010408-5981,87,Celiac Disease
Anna Andersson,anna.andersson809@example.se,19940115-3698,60,Arthritis
Maja Rasmussen,maja.rasmussen842@example.se,19980711-7330,75,
Elias Rasmussen,elias.rasmussen294@example.se,19651011-8765,57,
Lars Johansen,lars.johansen100@example.se,19701203-5537,61,Arthritis
Sanna Nielsen,sanna.nielsen660@example.se,19601115-1860,84,COPD
Sofie Eriksen,sofie.eriksen135@example.se,20010111-8756,72,Celiac Disease
Sofie Karlsen,sofie.karlsen524@example.se,19850621-1750,85,COPD
Kari Johansen,kari.johansen830@example.se,19980702-2581,83,
Freja Karlsen,freja.karlsen118@example.se,19831209-8210,60,Hypertension
Mika Berg,mika.berg185@example.se,19961221-7283,74,Hypothyroidism
Vilde Laine,vilde.laine561@example.se,19550705-9374,72,Hypothyroidism
Oskar Andersson,oskar.andersson339@example.se,19950104-8733,64,Arthritis
Kari Holm,kari.holm382@example.se,19971116-7146,67,Migraine
Henrik Virtanen,henrik.virtanen510@example.se,19570906-3121,76,Arthritis
Emil Hansen,emil.hansen416@example.se,19650905-3725,76,Type 2 Diabetes
Emil Karlsen,emil.karlsen665@example.se,19810305-8515,78,Type 2 Diabetes
Ingrid Andersson,ingrid.andersson296@example.se,19661028-2474,54,
Aksel Korhonen,aksel.korhonen729@example.se,19911211-8004,69,Type 2 Diabetes
Lars Korhonen,lars.korhonen245@example.se,19600603-5781,65,Asthma
Vilde Lund,vilde.lund185@example.se,19600409-7790,67,
Tilde Johansen,tilde.johansen39@example.se,19670812-8561,66,Celiac Disease
Sofie Eriksen,sofie.eriksen361@example.se,20010927-3952,76,Asthma
Henrik Sigurdsson,henrik.sigurdsson600@example.se,20040823-4489,101,Arthritis
Henrik Dahl,henrik.dahl740@example.se,19910222-9497,62,Hypothyroidism
Tilde Hansen,tilde.hansen876@example.se,20050604-3908,70,Type 2 Diabetes
Sanna Rasmussen,sanna.rasmussen100@example.se,19791207-4051,74,Hypothyroidism
Sanna Holm,sanna.holm192@example.se,19730610-9775,68,Hypothyroidism
Freja Olofsson,freja.olofsson800@example.se,19910111-2614,57,Hypothyroidism
Erik Berg,erik.berg84@example.se,19520107-4445,69,Hypothyroidism
Tilde Berg,tilde.berg170@example.se,19620201-6349,85,Celiac Disease
Aksel Andersson,aksel.andersson941@example.se,19500109-7514,71,Celiac Disease
Aksel Poulsen,aksel.poulsen6@example.se,19941101-6259,80,Hypothyroidism
Sanna Hansen,sanna.hansen817@example.se,20040902-7499,68,
Kasper Karlsen,kasper.karlsen630@example.se,19620906-7722,63,Hypothyroidism
Ingrid Johansen,ingrid.johansen505@example.se,19841108-3410,83,
Erik Virtanen,erik.virtanen273@example.se,19900225-9444,86,Arthritis
Emil Hansen,emil.hansen201@example.se,19860603-9279,67,Arthritis
Erik Rasmussen,erik.rasmussen593@example.se,19600103-4652,65,Hypothyroidism
Nora Olofsson,nora.olofsson501@example.se,20010217-2862,76,
Kasper Johansen,kasper.johansen881@example.se,19750312-7633,72,Hypertension
Erik Nielsen,erik.nielsen28@example.se,19950316-1045,83,COPD
Lars Lund,lars.lund227@example.se,20000412-6797,71,Celiac Disease
Freja Eriksen,freja.eriksen177@example.se,19780721-6803,78,Asthma
Nora Dahl,nora.dahl539@example.se,19810916-4646,69,
Jonas Korhonen,jonas.korhonen497@example.se,20041026-6259,79,Celiac Disease
Aksel Svensson,aksel.svensson822@example.se,19700505-4533,55,Hypothyroidism
Aksel Andersson,aksel.andersson459@example.se,19780112-2097,93,Hypertension
Sanna Johansen,sanna.johansen656@example.se,19780808-7471,79,Celiac Disease
Freja Poulsen,freja.poulsen526@example.se,19600227-3202,63,Asthma
Oskar Olofsson,oskar.olofsson918@example.se,19820215-3300,78,COPD
Vilde Johansen,vilde.johansen146@example.se,19660203-1690,81,Migraine
Elias Olofsson,elias.olofsson503@example.se,20030806-4760,95,Arthritis
Jonas Hansen,jonas.hansen545@example.se,19711120-8606,77,
Kasper Johansen,kasper.johansen867@example.se,19611022-9861,76,Celiac Disease
Ingrid Berg,ingrid.berg276@example.se,19921127-1336,56,Migraine
Kasper Virtanen,kasper.virtanen627@example.se,19981105-3651,63,COPD
Vilde Andersson,vilde.andersson911@example.se,19750106-9514,47,Hypothyroidism
Maja Nielsen,maja.nielsen441@example.se,19600728-2022,63,
Elias Rasmussen,elias.rasmussen721@example.se,19900324-3157,88,
Erik Nielsen,erik.nielsen697@example.se,19750925-8045,71,Type 2 Diabetes
Oskar Nielsen,oskar.nielsen678@example.se,19940106-3248,73,COPD
Erik Korhonen,erik.korhonen524@example.se,19541018-8266,71,
Kasper Laine,kasper.laine736@example.se,19581006-6406,65,Celiac Disease
Erik Rasmussen,erik.rasmussen488@example.se,19551114-4402,69,Celiac Disease
Lars Johansen,lars.johansen595@example.se,19980211-5158,51,
Tilde Berg,tilde.berg272@example.se,19530106-7067,75,Arthritis
Mika Hansen,mika.hansen264@example.se,19770525-1618,72,
Aksel Holm,aksel.holm663@example.se,19660614-5976,88,Type 2 Diabetes
Nora Sigurdsson,nora.sigurdsson197@example.se,19890516-2529,67,Type 2 Diabetes
Anna Poulsen,anna.poulsen176@example.se,19970224-6126,66,
Erik Laine,erik.laine180@example.se,19791203-2376,78,Hypertension
Ingrid Korhonen,ingrid.korhonen553@example.se,19870121-5547,63,
Tilde Korhonen,tilde.korhonen505@example.se,19731103-5719,80,
Anna Svensson,anna.svensson740@example.se,19520311-6479,74,Asthma
Oskar Holm,oskar.holm426@example.se,19510606-3182,77,Migraine
Aksel Svensson,aksel.svensson582@example.se,19790109-4128,64,Asthma
Lars Sigurdsson,lars.sigurdsson722@example.se,19900418-1873,74,Celiac Disease
Jonas Berg,jonas.berg453@example.se,19981211-7909,73,
Kari Laine,kari.laine733@example.se,19901127-8124,68,COPD
Kasper Svensson,kasper.svensson294@example.se,19770203-9248,71,Migraine
Tilde Korhonen,tilde.korhonen999@example.se,19860701-5000,52,
Kasper Sigurdsson,kasper.sigurdsson327@example.se,20041020-9519,52,Hypothyroidism
Oskar Holm,oskar.holm274@example.se,19550405-2531,76,Asthma
Jonas Lund,jonas.lund674@example.se,19951206-3588,84,Hypothyroidism
Kasper Karlsen,kasper.karlsen879@example.se,19661105-6178,58,COPD
Freja Poulsen,freja.poulsen851@example.se,20050809-3520,77,
Tilde Johansen,tilde.johansen297@example.se,19610702-8590,66,Arthritis
Vilde Korhonen,vilde.korhonen120@example.se,19950225-3094,72,Migraine
Vilde Andersson,vilde.andersson261@example.se,20001015-4681,79,Arthritis
Kari Karlsen,kari.karlsen220@example.se,19600519-2020,84,Hypothyroidism
Kasper Lund,kasper.lund714@example.se,19810520-5123,86,Type 2 Diabetes
Sofie Berg,sofie.berg141@example.se,19500815-4519,68,Type 2 Diabetes
Freja Hansen,freja.hansen511@example.se,19641008-1025,82,COPD
Freja Hansen,freja.hansen932@example.se,19870101-1940,87,Hypothyroidism
Tilde Eriksen,tilde.eriksen26@example.se,19790214-4724,57,
Freja Olofsson,freja.olofsson651@example.se,20000308-4548,78,Type 2 Diabetes
Anna Dahl,anna.dahl895@example.se,19690219-3900,59,Arthritis
Kari Eriksen,kari.eriksen442@example.se,19760208-1581,72,Celiac Disease
Kari Olofsson,kari.olofsson837@example.se,19500117-2124,76,Hypertension
Oskar Holm,oskar.holm285@example.se,19700209-1792,68,COPD
Tilde Karlsen,tilde.karlsen604@example.se,19761006-9460,95,Arthritis
Nora Laine,nora.laine707@example.se,19720301-6232,57,Celiac Disease
Lars Berg,lars.berg484@example.se,19911027-1777,65,Migraine
Tilde Holm,tilde.holm420@example.se,19610204-1069,51,
Emil Poulsen,emil.poulsen151@example.se,19750819-1539,70,Asthma
Freja Laine,freja.laine997@example.se,19930913-8402,85,Arthritis
Kari Holm,kari.holm57@example.se,19650823-2098,80,Asthma
Sofie Rasmussen,sofie.rasmussen910@example.se,19570602-1147,80,Celiac Disease
Kari Dahl,kari.dahl1@example.se,19500101-6616,84,Hypertension
Oskar Berg,oskar.berg855@example.se,19560808-1444,75,Hypothyroidism
Sanna Holm,sanna.holm309@example.se,20040405-9883,74,
Kasper Svensson,kasper.svensson505@example.se,20051001-6015,69,
Jonas Lund,jonas.lund661@example.se,20010614-2763,51,Hypertension
Sofie Olofsson,sofie.olofsson748@example.se,19710911-3936,73,
Nora Poulsen,nora.poulsen202@example.se,19540302-5975,68,
Mika Sigurdsson,mika.sigurdsson283@example.se,19700319-5747,68,
Nora Holm,nora.holm912@example.se,20051113-9644,67,Hypothyroidism
Freja Andersson,freja.andersson551@example.se,19511014-5346,69,Migraine
Mika Virtanen,mika.virtanen42@example.se,19540205-9944,85,Arthritis
